               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075687,             0.10965,            0.058157,              0.2815,              0.1713,            0.085568,            0.030788,            0.063638,            0.065956,            0.047919,           0.0033324,           0.0033324,            0.070009
                   1,            0.062463,             0.10245,            0.048587,             0.42367,             0.26834,             0.19355,            0.082572,            0.052922,            0.061744,            0.039592,           0.0066525,           0.0066525,            0.039996
                   2,            0.056338,             0.09833,            0.044108,             0.48097,             0.31514,             0.25297,             0.12037,            0.048614,            0.057865,            0.036703,           0.0099594,           0.0099594,           0.0099692
                   3,            0.052722,            0.095967,             0.04089,             0.55941,             0.31081,             0.29415,             0.14411,            0.045752,            0.056687,            0.033084,           0.0099406,           0.0099406,           0.0099406
                   4,            0.050145,            0.092512,            0.038555,             0.59749,             0.33907,             0.33399,             0.17115,            0.044197,            0.054484,             0.03077,           0.0099406,           0.0099406,           0.0099406
                   5,            0.048438,            0.091593,            0.036812,             0.52203,              0.3716,             0.35317,              0.1878,            0.042392,            0.053552,            0.029181,           0.0099208,           0.0099208,           0.0099208
                   6,              0.0473,            0.089611,             0.03543,             0.61974,             0.38642,             0.39048,             0.20996,            0.041699,             0.05294,            0.027704,            0.009901,            0.009901,            0.009901
                   7,            0.046342,            0.089924,            0.034163,             0.64318,             0.40797,             0.41822,             0.23107,            0.040477,            0.051443,            0.026162,           0.0098812,           0.0098812,           0.0098812
                   8,            0.045712,            0.089208,            0.033031,             0.59005,             0.41719,              0.4302,             0.24526,            0.039757,            0.051257,            0.025499,           0.0098614,           0.0098614,           0.0098614
                   9,            0.045044,            0.087961,              0.0321,             0.61661,               0.422,             0.44222,             0.25342,            0.039348,            0.050779,              0.0245,           0.0098416,           0.0098416,           0.0098416
                  10,            0.044241,            0.086715,            0.031116,             0.63892,             0.44192,             0.45463,             0.26264,             0.03862,            0.050236,            0.023708,           0.0098218,           0.0098218,           0.0098218
                  11,            0.043598,            0.085468,            0.030422,             0.54308,             0.45011,             0.46425,             0.27251,            0.038132,            0.049771,            0.023033,            0.009802,            0.009802,            0.009802
                  12,            0.043229,            0.085628,             0.02969,             0.60119,             0.47123,             0.47362,             0.28298,            0.037408,            0.049216,            0.022227,           0.0097822,           0.0097822,           0.0097822
                  13,            0.042698,            0.084555,            0.029157,             0.66636,             0.45437,              0.4808,             0.28813,            0.037305,            0.048964,            0.021671,           0.0097624,           0.0097624,           0.0097624
                  14,            0.042244,            0.084072,            0.028552,              0.6716,             0.45442,             0.48896,               0.294,            0.036866,            0.048762,            0.021217,           0.0097426,           0.0097426,           0.0097426
                  15,            0.041926,            0.083487,            0.027958,             0.62906,             0.49047,             0.50028,             0.30185,            0.036575,            0.048272,            0.020696,           0.0097228,           0.0097228,           0.0097228
                  16,            0.041622,            0.082559,            0.027402,             0.64905,             0.48621,             0.50257,             0.30638,            0.036087,            0.048002,            0.020476,            0.009703,            0.009703,            0.009703
                  17,            0.041447,            0.082616,            0.026942,             0.62563,             0.51713,             0.50943,              0.3117,            0.036027,            0.047905,            0.019897,           0.0096832,           0.0096832,           0.0096832
                  18,            0.041127,             0.08241,            0.026457,             0.67733,             0.48878,             0.51417,             0.31808,            0.035635,            0.047445,            0.019548,           0.0096634,           0.0096634,           0.0096634
                  19,            0.040913,            0.081758,            0.025997,             0.67208,             0.48954,             0.52065,             0.32117,             0.03541,            0.047578,            0.019231,           0.0096436,           0.0096436,           0.0096436
                  20,             0.04052,            0.081627,            0.025794,             0.65466,             0.50192,             0.52029,             0.32269,            0.035104,            0.047213,            0.019038,           0.0096238,           0.0096238,           0.0096238
                  21,            0.040257,            0.080514,            0.025322,             0.67036,             0.50261,              0.5263,             0.32664,             0.03495,            0.046982,            0.018916,            0.009604,            0.009604,            0.009604
                  22,            0.040071,            0.080854,            0.024949,             0.70716,             0.48653,             0.52613,             0.32789,            0.034955,            0.046912,            0.018666,           0.0095842,           0.0095842,           0.0095842
                  23,            0.039952,            0.080091,            0.024693,             0.69302,             0.50258,             0.53345,             0.33676,            0.034461,            0.046691,            0.018504,           0.0095644,           0.0095644,           0.0095644
                  24,            0.039621,            0.080106,            0.024393,             0.70004,             0.50075,             0.53975,             0.34035,            0.034341,            0.046547,            0.018236,           0.0095446,           0.0095446,           0.0095446
                  25,            0.039789,             0.08057,            0.024326,             0.67856,             0.51142,             0.53759,                0.34,            0.034306,            0.046449,            0.017981,           0.0095248,           0.0095248,           0.0095248
                  26,            0.039285,            0.080098,            0.023715,             0.69048,             0.50638,             0.54179,             0.34477,            0.034133,             0.04627,            0.017899,            0.009505,            0.009505,            0.009505
                  27,            0.039157,            0.079982,            0.023473,             0.67462,             0.52582,             0.55014,             0.34621,            0.034079,            0.046379,            0.017789,           0.0094852,           0.0094852,           0.0094852
                  28,            0.039014,            0.079307,            0.023177,             0.69658,             0.51252,              0.5494,             0.35105,            0.033804,            0.046251,            0.017636,           0.0094654,           0.0094654,           0.0094654
                  29,            0.038799,            0.078355,            0.022905,             0.68886,             0.53106,             0.55522,             0.35325,            0.033759,            0.046018,             0.01754,           0.0094456,           0.0094456,           0.0094456
                  30,            0.038694,            0.078253,            0.022797,             0.69541,             0.52415,             0.56062,             0.35502,            0.033721,            0.046079,            0.017625,           0.0094258,           0.0094258,           0.0094258
                  31,            0.038512,            0.078136,            0.022637,             0.61584,             0.53279,             0.56384,             0.36035,            0.033533,            0.045919,            0.017474,            0.009406,            0.009406,            0.009406
