               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057613,            0.096324,            0.050019,             0.50257,             0.29029,             0.23343,            0.093547,            0.050483,            0.060869,            0.037712,           0.0033314,           0.0033314,            0.070018
                   1,             0.04992,            0.091886,            0.039637,             0.56422,             0.34855,             0.32367,             0.16802,            0.044511,            0.054224,            0.031372,           0.0066515,           0.0066515,            0.040004
                   2,            0.047256,             0.08958,            0.035277,             0.63523,             0.38837,             0.39448,             0.21056,             0.04193,            0.052873,             0.02659,           0.0099584,           0.0099584,           0.0099781
                   3,             0.04478,            0.086677,            0.032095,             0.63956,             0.41816,              0.4391,             0.24908,            0.039224,            0.050923,            0.024029,           0.0099406,           0.0099406,           0.0099406
                   4,            0.043121,            0.084618,            0.029556,              0.6497,             0.43779,             0.45974,             0.26504,            0.038204,            0.049771,            0.022286,           0.0099406,           0.0099406,           0.0099406
                   5,            0.042026,             0.08305,            0.028352,             0.65596,              0.4568,             0.47608,               0.279,            0.037903,            0.049036,            0.021752,           0.0099208,           0.0099208,           0.0099208
                   6,            0.041186,            0.082933,            0.027022,             0.68599,             0.45909,             0.49401,             0.29724,             0.03639,              0.0482,            0.020726,            0.009901,            0.009901,            0.009901
                   7,            0.040339,            0.081401,            0.026178,             0.64293,             0.49497,             0.50152,             0.29604,            0.036568,              0.0484,            0.020482,           0.0098812,           0.0098812,           0.0098812
                   8,            0.039749,            0.080948,            0.025143,             0.68199,             0.48157,             0.50744,             0.30748,            0.035459,            0.048265,             0.02036,           0.0098614,           0.0098614,           0.0098614
                   9,            0.039506,             0.08084,            0.024629,             0.67908,             0.48739,             0.51865,              0.3182,            0.035387,            0.047619,            0.019482,           0.0098416,           0.0098416,           0.0098416
                  10,            0.039159,            0.079124,            0.024056,             0.67826,             0.50553,             0.52315,               0.326,            0.034916,            0.047239,            0.019233,           0.0098218,           0.0098218,           0.0098218
                  11,            0.038702,            0.079039,            0.023596,             0.68932,             0.49188,             0.52595,             0.32338,            0.034923,            0.047218,             0.01939,            0.009802,            0.009802,            0.009802
                  12,            0.038236,            0.078648,            0.023051,             0.68347,             0.48735,             0.52346,             0.32609,            0.034649,            0.047165,            0.019044,           0.0097822,           0.0097822,           0.0097822
                  13,            0.038068,            0.078045,            0.022612,             0.69013,             0.50355,             0.53401,             0.33305,            0.034549,            0.047038,            0.018809,           0.0097624,           0.0097624,           0.0097624
                  14,            0.037715,            0.077469,            0.022271,             0.69275,             0.51039,             0.54273,             0.34314,            0.034196,            0.046523,            0.018426,           0.0097426,           0.0097426,           0.0097426
