               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.053422,             0.13643,            0.036606,             0.60797,             0.35109,             0.34511,             0.17475,            0.050489,             0.14904,            0.034905,            0.009307,            0.009307,            0.009307
                  37,            0.052624,             0.13703,            0.036026,              0.5166,             0.38818,             0.34407,             0.18076,            0.049682,             0.14759,            0.034552,           0.0092872,           0.0092872,           0.0092872
                  38,            0.052744,             0.13883,            0.035706,             0.63523,              0.3415,             0.35485,              0.1787,            0.050693,              0.1472,            0.033799,           0.0092674,           0.0092674,           0.0092674
                  39,            0.053371,              0.1415,             0.03593,             0.64968,             0.33764,              0.3593,             0.17589,             0.05118,             0.14722,            0.034115,           0.0092476,           0.0092476,           0.0092476
                  40,            0.052186,              0.1359,            0.035052,             0.60055,             0.36696,             0.35331,             0.18015,             0.05034,             0.14831,            0.033656,           0.0092278,           0.0092278,           0.0092278
                  41,            0.052498,             0.13796,            0.035023,             0.53591,             0.37765,              0.3575,             0.18147,            0.050969,             0.14653,            0.033369,            0.009208,            0.009208,            0.009208
                  42,             0.05257,             0.13969,            0.034797,             0.59866,             0.38798,             0.36163,             0.17906,            0.050795,             0.14734,            0.033702,           0.0091882,           0.0091882,           0.0091882
                  43,              0.0526,             0.13509,            0.034549,             0.64062,             0.33627,             0.35631,             0.17798,             0.05128,             0.14816,            0.033495,           0.0091684,           0.0091684,           0.0091684
                  44,            0.052942,             0.13269,            0.034651,             0.59877,             0.38538,             0.37961,             0.19479,             0.04955,             0.14732,            0.032953,           0.0091486,           0.0091486,           0.0091486
                  45,            0.052191,             0.13712,            0.034334,             0.64071,             0.35833,             0.37276,             0.19355,            0.050322,             0.14782,            0.032915,           0.0091288,           0.0091288,           0.0091288
                  46,            0.051331,               0.132,            0.033491,             0.63833,             0.36644,             0.40076,             0.20674,            0.049823,             0.14703,            0.032066,            0.009109,            0.009109,            0.009109
                  47,            0.051025,             0.13264,            0.033786,             0.60951,             0.38377,             0.38326,             0.19402,            0.049931,              0.1487,            0.032041,           0.0090892,           0.0090892,           0.0090892
                  48,             0.05175,             0.13793,            0.033412,             0.56608,             0.38965,             0.38745,             0.20443,            0.048797,             0.14551,            0.032184,           0.0090694,           0.0090694,           0.0090694
                  49,            0.051877,             0.13598,            0.033657,              0.6619,             0.37662,             0.38841,             0.20216,            0.048881,             0.14527,            0.031603,           0.0090496,           0.0090496,           0.0090496
                  50,            0.052956,             0.13896,            0.032549,             0.60762,             0.38572,              0.3812,             0.18408,            0.051163,             0.14777,             0.03275,           0.0090298,           0.0090298,           0.0090298
                  51,            0.051923,              0.1358,            0.033186,             0.61713,             0.37982,              0.3945,             0.20177,            0.049859,             0.14594,            0.031783,             0.00901,             0.00901,             0.00901
                  52,            0.050844,             0.13824,            0.032053,             0.60739,             0.40251,             0.39457,             0.20464,            0.049599,             0.14567,            0.031805,           0.0089902,           0.0089902,           0.0089902
                  53,            0.050916,             0.13621,            0.032453,             0.63216,             0.39401,             0.40767,             0.20893,            0.049686,             0.14372,            0.030859,           0.0089704,           0.0089704,           0.0089704
                  54,             0.05093,             0.13373,            0.032191,             0.57312,             0.39588,             0.39679,             0.21591,            0.048584,             0.14298,            0.030772,           0.0089506,           0.0089506,           0.0089506
                  55,            0.050953,             0.13886,            0.032264,             0.56275,             0.40037,             0.39581,             0.21111,            0.049538,             0.14641,            0.031929,           0.0089308,           0.0089308,           0.0089308
                  56,            0.050579,             0.13348,              0.0319,             0.62275,             0.38617,             0.40286,             0.21296,            0.048992,             0.14456,            0.031209,            0.008911,            0.008911,            0.008911
